logged_at,forecast_updated,rainfall_updated,areas_total,areas_forecast_rain,gauges_total,gauges_wet
2026-07-07T00:38:19,2026-07-07T01:00:00+08:00,2026-07-07T08:30:00+08:00,47,0,77,0
2026-07-07T03:24:51,2026-07-07T01:00:00+08:00,2026-07-07T11:15:00+08:00,47,0,77,30
2026-07-07T03:31:15,2026-07-07T01:00:00+08:00,2026-07-07T11:20:00+08:00,47,0,77,26
2026-07-07T03:36:59,2026-07-07T01:00:00+08:00,2026-07-07T11:30:00+08:00,47,0,77,24
2026-07-07T04:45:05,2026-07-07T01:00:00+08:00,2026-07-07T12:30:00+08:00,47,0,77,0
2026-07-07T13:42:09+08:00,2026-07-07T01:00:00+08:00,2026-07-07T13:35:00+08:00,47,0,76,2
2026-07-07T13:45:53+08:00,2026-07-07T01:00:00+08:00,2026-07-07T13:35:00+08:00,47,0,76,2
2026-07-07T13:50:31+08:00,2026-07-07T01:00:00+08:00,2026-07-07T13:40:00+08:00,47,0,76,3
2026-07-07T16:55:50+08:00,2026-07-07T01:30:00+08:00,2026-07-07T16:45:00+08:00,47,0,77,0
2026-07-07T19:54:37+08:00,2026-07-07T01:30:00+08:00,2026-07-07T19:45:00+08:00,47,0,77,0
2026-07-07T22:34:12+08:00,2026-07-07T21:30:00+08:00,2026-07-07T22:25:00+08:00,47,0,77,0
2026-07-08T00:58:14+08:00,2026-07-08T00:28:00+08:00,2026-07-08T00:50:00+08:00,47,6,77,0
2026-07-08T03:07:43+08:00,2026-07-08T03:00:00+08:00,2026-07-08T02:55:00+08:00,47,0,77,0
2026-07-08T04:57:28+08:00,2026-07-08T04:30:00+08:00,2026-07-08T04:50:00+08:00,47,0,77,0
2026-07-08T06:18:07+08:00,2026-07-08T06:00:00+08:00,2026-07-08T06:05:00+08:00,47,0,77,0
2026-07-08T07:26:13+08:00,2026-07-08T07:05:00+08:00,2026-07-08T07:20:00+08:00,47,14,77,1
2026-07-08T08:30:19+08:00,2026-07-08T08:08:00+08:00,2026-07-08T08:20:00+08:00,47,47,77,7
2026-07-08T11:49:36+08:00,2026-07-08T11:30:00+08:00,2026-07-08T11:40:00+08:00,47,0,77,0
2026-07-08T11:57:00+08:00,2026-07-08T11:36:26+08:00,2026-07-08T11:45:00+08:00,47,0,77,0
2026-07-08T13:32:45+08:00,2026-07-08T13:06:26+08:00,2026-07-08T13:25:00+08:00,47,0,77,0
2026-07-08T14:35:55+08:00,2026-07-08T14:06:30+08:00,2026-07-08T14:25:00+08:00,47,0,77,0
2026-07-08T17:11:04+08:00,2026-07-08T17:10:46+08:00,2026-07-08T17:00:00+08:00,47,0,77,0
2026-07-08T19:19:38+08:00,2026-07-08T19:06:45+08:00,2026-07-08T19:05:00+08:00,47,23,76,1
2026-07-08T20:55:47+08:00,2026-07-08T20:51:42+08:00,2026-07-08T20:45:00+08:00,47,29,76,1
2026-07-08T23:29:56+08:00,2026-07-08T23:06:24+08:00,2026-07-08T23:20:00+08:00,47,0,77,0
2026-07-09T01:03:16+08:00,2026-07-09T00:36:25+08:00,2026-07-09T00:55:00+08:00,47,0,77,0
2026-07-09T02:25:26+08:00,2026-07-09T02:06:21+08:00,2026-07-09T02:15:00+08:00,47,0,77,0
2026-07-09T04:06:30+08:00,2026-07-09T03:37:02+08:00,2026-07-09T04:00:00+08:00,47,0,77,0
2026-07-09T05:21:12+08:00,2026-07-09T05:06:32+08:00,2026-07-09T05:10:00+08:00,47,0,77,0
2026-07-09T06:28:57+08:00,2026-07-09T06:06:27+08:00,2026-07-09T06:15:00+08:00,47,0,77,0
2026-07-09T07:40:51+08:00,2026-07-09T07:36:27+08:00,2026-07-09T07:30:00+08:00,47,0,77,0
